locus_tag	sysName	scaffoldId	begin	end	strand	type	desc
Atu6061	Atu6061	AE007871	72521	73768	+	1	nitrilotriacetate monooxygenase
Atu6062	Atu6062	AE007871	73926	74696	+	1	2-deoxy-D-gluconate 3-dehydrogenase
Atu6063	Atu6063	AE007871	74856	76481	+	1	oxidoreductase, GMC family
Atu6064	Atu6064	AE007871	76616	77458	-	1	haloalkane dehalogenase
Atu6065	Atu6065	AE007871	77527	78150	-	1	conserved hypothetical protein
Atu6066	Atu6066	AE007871	78290	79495	-	1	acyl-CoA dehydrogenase
Atu6067	Atu6067	AE007871	79549	80118	-	1	conserved hypothetical protein
Atu6068	Atu6068	AE007871	80275	81309	-	1	ABC transporter, membrane spanning protein (ribose)
Atu6069	Atu6069	AE007871	81320	82906	-	1	ABC transporter, nucleotide binding/ATPase protein (ribose)
Atu6070	Atu6070	AE007871	82903	84210	-	1	ABC transporter, substrate binding protein (ribose)
Atu6071	Atu6071	AE007871	84344	85174	-	1	Zn-dependent hydrolases
Atu6072	Atu6072	AE007871	85254	86468	-	1	thermophilic desulfurizing enzyme
Atu6073	Atu6073	AE007871	86557	88152	-	1	ABC transporter, substrate binding protein (peptide)
Atu6074	Atu6074	AE007871	88210	89877	-	1	ABC transporter, nucleotide binding/ATPase protein (peptide)
Atu6075	Atu6075	AE007871	89877	90818	-	1	ABC transporter, membrane spanning protein (peptide)
Atu6076	Atu6076	AE007871	90818	91819	-	1	ABC transporter, membrane spanning protein (peptide)
Atu6077	Atu6077	AE007871	91801	93288	-	1	monooxygenase
Atu6078	Atu6078	AE007871	93299	94525	-	1	conserved hypothetical protein
Atu6079	Atu6079	AE007871	94522	95814	-	1	putative nitrilotriacetate monooxygenase
Atu6080	Atu6080	AE007871	95986	96948	+	1	transcriptional regulator, LysR family
Atu6081	Atu6081	AE007871	97030	97623	+	1	conserved hypothetical protein
Atu6082	Atu6082	AE007871	97822	98859	+	1	AAA-family ATPase
Atu6083	Atu6083	AE007871	98863	101373	+	1	conserved hypothetical protein
Atu6084	Atu6084	AE007871	101725	103077	+	1	nitrilotriacetate monooxygenase, component A
Atu6085	Atu6085	AE007871	103100	104032	+	1	ABC transporter, substrate binding protein (nitrate/sulfonate)
Atu6086	Atu6086	AE007871	104051	104851	+	1	ABC transporter, membrane spanning protein (nitrate/sulfonate)
Atu6087	Atu6087	AE007871	104900	105679	+	1	ABC transporter, nucleotide binding/ATPase protein (nitrate/sulfonate)
Atu6088	Atu6088	AE007871	105676	106623	+	1	transcriptional regulator, LysR family
Atu6089	Atu6089	AE007871	106655	107842	+	1	conserved hypothetical protein
Atu6090	Atu6090	AE007871	107937	108998	-	1	ATP-dependent DNA ligase
Atu6091	Atu6091	AE007871	109282	110034	+	1	conserved hypothetical protein
Atu6092	Atu6092	AE007871	110048	111466	+	1	conserved hypothetical protein
Atu6093	Atu6093	AE007871	111463	114726	+	1	DNA polymerase III, alpha chain
Atu6094	Atu6094	AE007871	114961	116079	+	1	conserved hypothetical protein
Atu6095	Atu6095	AE007871	116361	116774	-	1	conserved hypothetical protein
Atu6096	Atu6096	AE007871	116838	117917	+	1	conserved hypothetical protein
Atu6097	Atu6097	AE007871	117878	118474	-	1	cell filamentation protein
Atu6098	Atu6098	AE007871	118471	118932	-	1	transcriptional regulator, HTH family
Atu6099	Atu6099	AE007871	119313	119915	+	1	conserved hypothetical protein
Atu6100	Atu6100	AE007871	119927	120328	+	1	conserved hypothetical protein
Atu6101	Atu6101	AE007871	120457	125538	+	1	helicase, SNF2 family
Atu6103	Atu6103	AE007871	125894	127651	+	1	plasmid partitioning protein
Atu6104	Atu6104	AE007871	127748	128221	+	1	conserved hypothetical protein
Atu6105	Atu6105	AE007871	128218	129105	+	1	conserved hypothetical protein
Atu6106	Atu6106	AE007871	129102	129410	+	1	conserved hypothetical protein
Atu6107	Atu6107	AE007871	129382	129606	+	1	hypothetical protein
Atu6108	Atu6108	AE007871	129626	129931	-	1	alkylphosphonate uptake protein
Atu6109	Atu6109	AE007871	130449	131048	+	1	conserved hypothetical protein
Atu6110	Atu6110	AE007871	131360	132286	+	1	antirestriction protein
Atu6111	Atu6111	AE007871	132286	133200	+	1	conserved hypothetical protein
Atu6112	Atu6112	AE007871	133562	134212	+	1	conserved hypothetical protein
Atu6113	Atu6113	AE007871	134304	134882	-	1	conserved hypothetical protein
Atu6114	Atu6114	AE007871	134896	135138	-	1	hypothetical protein
Atu6115	Atu6115	AE007871	135219	136625	-	1	conserved hypothetical protein
Atu6116	Atu6116	AE007871	136688	137539	-	1	conserved hypothetical protein
Atu6117	Atu6117	AE007871	137671	138156	+	1	NTP pyrophosphohydrolase, MutT family
Atu6119	Atu6119	AE007871	138585	138941	+	1	conserved hypothetical protein
Atu6120	Atu6120	AE007871	139472	139750	-	1	HNS-type DNA binding protein
Atu6121	Atu6121	AE007871	139890	140147	-	1	conserved hypothetical protein
Atu6122	Atu6122	AE007871	140387	140701	-	1	nuclease
Atu6123	Atu6123	AE007871	140854	141252	-	1	conserved hypothetical protein
Atu6124	Atu6124	AE007871	141249	143225	-	1	conjugative transfer protein, Coupling protein
Atu6125	Atu6125	AE007871	143212	143457	-	1	conjugative transfer protein, Dtr system
Atu6126	Atu6126	AE007871	143432	143728	-	1	conjugal transfer protein, Dtr system
Atu6127	Atu6127	AE007871	143987	147289	+	1	OriT nicking enzyme, Dtr system
Atu6128	Atu6128	AE007871	147286	147816	+	1	Conjugative pilin processing protease
Atu6129	Atu6129	AE007871	147905	149002	+	1	conjugal transfer protein
Atu6130	Atu6130	AE007871	149016	149645	+	1	conserved hypothetical protein
Atu6131	Atu6131	AE007871	150171	150479	+	1	TraR Antiactivator
Atu6132	Atu6132	AE007871	150638	152377	-	1	methyl-accepting chemotaxis protein
Atu6133	Atu6133	AE007871	152480	152809	-	1	conserved hypothetical protein
Atu6134	Atu6134	AE007871	152839	153543	-	1	transcriptional regulator
Atu6135	Atu6135	AE007871	153761	155218	-	1	Sucrose phosphorylase-like protein
Atu6136	Atu6136	AE007871	155270	156922	-	1	Na+/phosphate symporter
Atu6137	Atu6137	AE007871	156936	157232	-	1	hypothetical protein
Atu6138	Atu6138	AE007871	157464	158240	+	1	Repressor of the acc and arc operons
Atu6139	Atu6139	AE007871	158298	159863	+	1	ABC transporter, substrate binding protein (agrocinopines A and B)
Atu6140	Atu6140	AE007871	159963	160862	+	1	ABC transporter, nucleotide binding/ATPase protein (agrocinopine)
Atu6141	Atu6141	AE007871	160859	161878	+	1	ABC transporter, nucleotide binding/ATPase protein (agrocinopine)
Atu6142	Atu6142	AE007871	161875	162801	+	1	ABC transporter, membrane spanning protein (agrocinopine)
Atu6143	Atu6143	AE007871	162794	163654	+	1	ABC transporter, membrane spanning protein (agrocinopine)
Atu6144	Atu6144	AE007871	163670	164470	+	1	agrocinopine phosphodiesterase
Atu6145	Atu6145	AE007871	164463	165281	+	1	arabinose phosphate phosphatase
Atu6146	Atu6146	AE007871	165281	165739	+	1	conserved hypothetical protein
Atu6147	Atu6147	AE007871	165760	166743	+	1	conserved hypothetical protein
Atu6148	Atu6148	AE007871	166498	167382	-	1	transposase
Atu6149	Atu6149	AE007871	167545	167880	+	1	hypothetical protein
Atu6150	Atu6150	AE007871	167883	169142	+	1	P-450 monooxygenase
Atu6151	Atu6151	AE007871	169219	170394	+	1	P-450 monoxygenase
Atu6152	Atu6152	AE007871	170670	171593	+	1	transposase
Atu6153	Atu6153	AE007871	171677	171946	-	1	conserved hypothetical protein
Atu6154	Atu6154	AE007871	172489	173427	+	1	exported virulence protein
Atu6155	Atu6155	AE007871	173878	174306	+	1	conserved hypothetical protein
Atu6156	Atu6156	AE007871	174328	174762	+	1	virA/G regulated gene
Atu6157	Atu6157	AE007871	174806	175120	+	1	conserved hypothetical protein
Atu6158	Atu6158	AE007871	175161	175481	-	1	conserved hypothetical protein
Atu6159	Atu6159	AE007871	175611	175895	-	1	hypothetical protein
Atu6160	Atu6160	AE007871	176065	176244	+	1	conserved hypothetical protein
Atu8063	Atu8063	AE007871	176512	176823	+	1	hypothetical protein
Atu6162	Atu6162	AE007871	177407	178117	-	1	conserved hypothetical protein
Atu6163	Atu6163	AE007871	178336	178764	+	1	hypothetical protein
Atu6164	Atu6164	AE007871	179262	179993	-	1	trans-zeatin secretion protein
Atu6165	Atu6165	AE007871	180279	180470	+	1	hypothetical protein
Atu6166	Atu6166	AE007871	180831	183332	+	1	two component sensor kinase
Atu6167	Atu6167	AE007871	183877	184614	+	1	component of type IV secretion system
Atu6168	Atu6168	AE007871	184614	184979	+	1	component of type IV secretion system, pilin subunit
Atu6169	Atu6169	AE007871	184979	185305	+	1	component of type IV secretion system
Atu6170	Atu6170	AE007871	185305	187674	+	1	component of type IV secretion system
Atu6171	Atu6171	AE007871	187691	188353	+	1	component of type IV secretion system
Atu6172	Atu6172	AE007871	188454	189341	+	1	component of type IV secretion system
Atu6173	Atu6173	AE007871	189377	189544	+	1	component of type IV secretion system
Atu6174	Atu6174	AE007871	189531	190244	+	1	component of type IV secretion system
Atu6175	Atu6175	AE007871	190241	191122	+	1	component of type IV secretion system
Atu6176	Atu6176	AE007871	191119	192252	+	1	component of type IV secretion system
Atu6177	Atu6177	AE007871	192293	193327	+	1	component of type IV secretion system
Atu6178	Atu6178	AE007871	193546	194307	+	1	two component response regulator
Atu6179	Atu6179	AE007871	194449	195057	-	1	virA/G regulated protein
Atu6180	Atu6180	AE007871	195060	195755	-	1	virA/G regulated protein
Atu6181	Atu6181	AE007871	196026	196469	+	1	virA/G regulated topoisomerase
Atu6182	Atu6182	AE007871	196503	197846	+	1	endonuclease
Atu6183	Atu6183	AE007871	197861	199882	+	1	virA/G regulated protein
Atu6184	Atu6184	AE007871	199956	201962	+	1	virA/G regulated protein
Atu6185	Atu6185	AE007871	202074	204596	+	1	virA/G regulated protein
Atu6186	Atu6186	AE007871	204666	205232	+	1	virA/G regulated protein
Atu6188	Atu6188	AE007871	205684	205935	+	1	virA/G regulated protein
Atu6189	Atu6189	AE007871	206051	206242	+	1	protein secretion chaperone
Atu6190	Atu6190	AE007871	206256	207926	+	1	exported virulence protein
Atu6191	Atu6191	AE007871	207993	210047	+	1	virA/G regulated protein
Atu6193	Atu6193	AE007871	211215	211946	-	1	conserved hypothetical protein
Atu6194	Atu6194	AE007871	211970	212497	-	1	conserved hypothetical protein
Atu6195	Atu6195	AE007871	212487	212684	-	1	conserved hypothetical protein
Atu6196	Atu6196	AE007871	212701	213429	-	1	arabinose phosphate phosphatase
Atu6197	Atu6197	AE007871	213471	213755	-	1	agrocinopine phosphodiesterase
Atu0001	Atu0001	NC_003062	203	1024	+	1	hypothetical protein
Atu0002	Atu0002	NC_003062	1056	1655	+	1	putative inhibitor of septum formation
Atu0003	Atu0003	NC_003062	1648	2508	+	1	shikimate 5-dehydrogenase
Atu0004	Atu0004	NC_003062	2508	3089	+	1	dephospho-CoA kinase
Atu0005	Atu0005	NC_003062	3110	3808	+	1	DNA polymerase III, epsilon chain
Atu0006	Atu0006	NC_003062	3907	4389	-	1	protein-export protein SECB
Atu0007	Atu0007	NC_003062	4493	5029	-	1	hypothetical protein
Atu0008	Atu0008	NC_003062	5215	5868	+	1	hypothetical protein
Atu0009	Atu0009	NC_003062	5865	6977	+	1	membrane-bound lytic murein transglycosylase
Atu0010	Atu0010	NC_003062	6974	7543	+	1	hypothetical protein
Atu0011	Atu0011	NC_003062	7540	7905	+	1	transcriptional regulator
Atu0012	Atu0012	NC_003062	8064	10499	+	1	DNA gyrase subunit B
Atu0013	Atu0013	NC_003062	10604	11206	-	1	NAD(P)H-flavin oxidoreductase
Atu0014	Atu0014	NC_003062	11335	12177	+	1	2-hydroxyhepta-2,4-diene-1,7-dioate isomerase
Atu0015	Atu0015	NC_003062	12339	13535	+	1	intracellular PHB depolymerase
Atu0016	Atu0016	NC_003062	13605	14372	+	1	hypothetical protein
Atu0017	Atu0017	NC_003062	14475	15137	+	1	N-(5-phosphoribosyl) anthranilate isomerase
Atu0018	Atu0018	NC_003062	15139	16359	+	1	tryptophan synthase beta subunit
Atu0019	Atu0019	NC_003062	16364	17203	+	1	tryptophan synthase alpha subunit
Atu0020	Atu0020	NC_003062	17231	18127	+	1	acetyl-coenzyme A carboxyl transferase, beta subunit
Atu0021	Atu0021	NC_003062	18250	19593	+	1	folylpolyglutamate synthase
Atu0022	Atu0022	NC_003062	19641	19961	-	1	thioredoxin
Atu0023	Atu0023	NC_003062	20039	23596	-	1	ATP-dependant DNA helicase
Atu0024	Atu0024	NC_003062	23586	26771	-	1	hypothetical protein
Atu0025	Atu0025	NC_003062	26768	27505	-	1	hypothetical protein
Atu0026	Atu0026	NC_003062	27520	29031	-	1	hypothetical protein
Atu0027	Atu0027	NC_003062	29028	31673	-	1	two component sensor kinase
Atu0028	Atu0028	NC_003062	31670	31837	-	1	hypothetical protein
Atu0029	Atu0029	NC_003062	31882	33282	-	1	S-adenosylhomocysteine hydrolase
Atu0030	Atu0030	NC_003062	33411	33686	-	1	phosphocarrier protein HPr
Atu0031	Atu0031	NC_003062	33698	34099	-	1	PTS system, IIA component
Atu0032	Atu0032	NC_003062	34225	34689	-	1	hypothetical protein
Atu0033	Atu0033	NC_003062	34679	36469	-	1	two component sensor kinase
Atu0034	Atu0034	NC_003062	36525	37250	-	1	two component response regulator
Atu0035	Atu0035	NC_003062	37589	39199	+	1	phosphoenolpyruvate carboxykinase
Atu0036	Atu0036	NC_003062	39327	39761	+	1	hypothetical protein
Atu0037	Atu0037	NC_003062	39781	40749	-	1	pantothenate kinase
Atu0038	Atu0038	NC_003062	40779	41102	-	1	phosphoribosyl-ATP pyrophosphohydrolase
Atu0039	Atu0039	NC_003062	41118	41894	-	1	imidazoleglycerol-phosphate synthase cyclase
Atu0040	Atu0040	NC_003062	41891	42634	-	1	phosphoribosylformino-5-aminoimidazole carboxamide ribotide isomerase
Atu0041	Atu0041	NC_003062	42636	43286	-	1	glutamine amidotransferase
Atu8115	Atu8115	NC_003062	43288	43782	-	1	Hypothetical Protein
Atu0043	Atu0043	NC_003062	43805	44401	-	1	imidazoleglycerol-phosphate dehydratase
Atu0044	Atu0044	NC_003062	44644	45126	+	1	heat shock protein hslV
Atu0045	Atu0045	NC_003062	45214	46521	+	1	heat shock chaperone
Atu0046	Atu0046	NC_003062	46716	47681	+	1	hypothetical protein
Atu0047	Atu0047	NC_003062	47736	49970	+	1	malate synthase G
Atu0048	Atu0048	NC_003062	50151	50864	-	1	hypothetical protein
Atu0049	Atu0049	NC_003062	51048	51533	+	1	hypothetical protein
Atu0050	Atu0050	NC_003062	51594	52181	-	1	two component response regulator
Atu0051	Atu0051	NC_003062	52255	53562	-	1	two component sensor kinase
Atu0052	Atu0052	NC_003062	53592	56078	-	1	helicase
Atu0053	Atu0053	NC_003062	56746	58225	+	2	16S ribosomal RNA
Atu0054	Atu0054	NC_003062	58553	58629	+	5	tRNA-Ile
Atu0055	Atu0055	NC_003062	58688	58763	+	5	tRNA-Ala
Atu0056	Atu0056	NC_003062	59238	59627	-	1	hypothetical protein
Atu0057	Atu0057	NC_003062	59719	61975	+	2	23S ribosomal RNA
Atu0058	Atu0058	NC_003062	62235	62492	+	1	hypothetical protein
Atu0059	Atu0059	NC_003062	62607	62725	+	2	5S ribosomal RNA
Atu0060	Atu0060	NC_003062	62964	63040	+	5	tRNA-Met
Atu0061	Atu0061	NC_003062	63196	65004	+	1	ATP-dependent DNA helicase
Atu0062	Atu0062	NC_003062	65054	66286	-	1	transcriptional regulator, ROK family
Atu0063	Atu0063	NC_003062	66551	67573	+	1	ABC transporter, substrate binding protein (sugar)
Atu0064	Atu0064	NC_003062	67798	68880	+	1	ABC transporter, membrane spanning protein (sugar)
Atu0065	Atu0065	NC_003062	68880	69662	+	1	ABC transporter, nucleotide binding/ATPase protein (sugar)
Atu0066	Atu0066	NC_003062	69659	70288	+	1	putative kinase
Atu0068	Atu0068	NC_003062	70953	71174	+	1	glutaredoxin protein
Atu0069	Atu0069	NC_003062	71188	71586	+	1	NrdI protein involved in ribonucleotide reduction
Atu0070	Atu0070	NC_003062	71679	73760	+	1	ribonucleoside-diphosphate reductase 2 alpha chain
Atu0071	Atu0071	NC_003062	73777	74751	+	1	ribonucleoside-diphosphate reductase 2 beta chain
Atu0072	Atu0072	NC_003062	74781	76016	-	1	hypothetical protein
Atu0073	Atu0073	NC_003062	76045	77172	+	1	recF-like protein
Atu0074	Atu0074	NC_003062	77195	77956	+	1	molybdopterin biosynthesis protein
Atu0075	Atu0075	NC_003062	77960	78436	+	1	hypothetical protein
Atu0076	Atu0076	NC_003062	78443	79132	-	1	hypothetical protein
Atu0077	Atu0077	NC_003062	79181	80185	-	1	D-isomer specific 2-hydroxyacid dehydrogenases family protein
Atu0078	Atu0078	NC_003062	80360	80899	+	1	hypothetical protein
Atu0079	Atu0079	NC_003062	80892	81884	-	1	Atu0079-1 mutant of pfkB family carbohydrate kinase
Atu0080	Atu0080	NC_003062	82362	83306	+	1	permease
Atu0081	Atu0081	NC_003062	83313	84329	-	1	ribosomal RNA small subunit methyltransferase
Atu0082	Atu0082	NC_003062	84465	86606	-	1	polyribonucleotide nucleotidyltransferase
Atu0084	Atu0084	NC_003062	86872	87141	-	1	30S ribosomal protein S15
Atu0085	Atu0085	NC_003062	87307	88254	-	1	tRNA pseudouridine 55 synthase
Atu0086	Atu0086	NC_003062	88258	88674	-	1	ribosome-binding factor A
Atu0087	Atu0087	NC_003062	88750	91491	-	1	translation initiation factor IF-2
Atu0088	Atu0088	NC_003062	91594	92295	-	1	hypothetical protein
Atu0089	Atu0089	NC_003062	92292	93908	-	1	N-utilization substance protein A
Atu0090	Atu0090	NC_003062	93972	94568	-	1	hypothetical protein
Atu0091	Atu0091	NC_003062	94974	96485	+	1	MFS permease
Atu0092	Atu0092	NC_003062	96508	97773	-	1	lytic murein transglycosylase
Atu0093	Atu0093	NC_003062	97808	98413	-	1	Recombination protein
Atu0094	Atu0094	NC_003062	98472	99086	+	1	hypothetical protein
Atu0095	Atu0095	NC_003062	99146	99469	-	1	hypothetical protein
Atu0096	Atu0096	NC_003062	99494	101368	-	1	DNA polymerase III, tau subunit
Atu0097	Atu0097	NC_003062	101634	102038	+	1	hypothetical protein
Atu0098	Atu0098	NC_003062	102038	103000	+	1	mutT/nudix family protein
Atu0099	Atu0099	NC_003062	103016	103879	-	1	prephenate dehydratase
Atu0100	Atu0100	NC_003062	103891	104646	-	1	3-deoxy-manno-octulosonate cytidylyltransferase
Atu0101	Atu0101	NC_003062	104797	105375	+	1	cytochrome c
Atu0102	Atu0102	NC_003062	105470	106195	-	1	exopolysaccharide production protein
Atu0103	Atu0103	NC_003062	106484	108778	-	1	penicillin-binding protein
Atu0104	Atu0104	NC_003062	108895	109353	-	1	hypothetical protein
Atu0105	Atu0105	NC_003062	109363	109557	-	1	hypothetical protein
Atu0106	Atu0106	NC_003062	109823	110032	+	1	cold shock protein
Atu0107	Atu0107	NC_003062	110062	110223	+	1	hypothetical protein
Atu0108	Atu0108	NC_003062	110444	111835	-	1	putative metalloprotease M20 family
Atu0109	Atu0109	NC_003062	112000	112446	-	1	transcriptional regulator, MarR family
Atu8081	Atu8081	NC_003062	112724	113134	-	1	hypothetical protein
Atu0110	Atu0110	NC_003062	113226	116222	+	1	DNA polymerase I
Atu0111	Atu0111	NC_003062	116299	117018	+	1	hypothetical protein
Atu0112	Atu0112	NC_003062	117212	117397	+	1	50S ribosomal protein L32
Atu0113	Atu0113	NC_003062	117518	119386	+	1	two component sensor kinase
Atu0114	Atu0114	NC_003062	119383	120729	+	1	two component response regulator
Atu0115	Atu0115	NC_003062	120729	120932	+	1	hypothetical protein
Atu0116	Atu0116	NC_003062	121502	121912	+	1	hypothetical protein
Atu0117	Atu0117	NC_003062	122012	122473	+	1	hypothetical protein
Atu0118	Atu0118	NC_003062	122483	123988	+	1	hypothetical protein
Atu0119	Atu0119	NC_003062	124135	124347	+	1	hypothetical protein
Atu0120	Atu0120	NC_003062	124361	124912	+	1	hypothetical protein
Atu0121	Atu0121	NC_003062	124981	126114	-	1	molecular chaperone, DnaJ family
Atu0122	Atu0122	NC_003062	126205	128106	-	1	DNAK Protein
Atu0123	Atu0123	NC_003062	128413	128502	-	5	tRNA-Ser
Atu0124	Atu0124	NC_003062	128724	129041	+	1	hypothetical protein
Atu0125	Atu0125	NC_003062	129114	129764	+	1	peptide methionine sulfoxide reductase
Atu0126	Atu0126	NC_003062	129978	130970	+	1	membrane lipoprotein
Atu0127	Atu0127	NC_003062	131053	132558	+	1	ABC transporter, nucleotide binding/ATPase protein (sugar/ribonucleotide)
Atu0128	Atu0128	NC_003062	132566	133669	+	1	ABC transporter, membrane spanning protein (sugar/ribonucleotide)
Atu0129	Atu0129	NC_003062	133676	134647	+	1	ABC transporter, membrane spanning protein (sugar/ribonucleotide)
Atu0130	Atu0130	NC_003062	134652	135056	+	1	cytidine deaminase
Atu0131	Atu0131	NC_003062	135056	135856	+	1	purine nucleoside phosphorylase
Atu0132	Atu0132	NC_003062	135859	136632	+	1	2-deoxyribose-5-phosphate aldolase
Atu0133	Atu0133	NC_003062	136629	137945	+	1	thymidine phosphorylase
Atu0134	Atu0134	NC_003062	137938	138474	-	1	hypothetical protein
Atu0135	Atu0135	NC_003062	138594	139223	-	1	uracil phosphoribosyltransferase
Atu0136	Atu0136	NC_003062	139319	140296	-	1	adenosine deaminase
Atu0137	Atu0137	NC_003062	140293	141513	-	1	phosphopentomutase
Atu0138	Atu0138	NC_003062	141629	142459	-	1	surfeit 1
Atu0139	Atu0139	NC_003062	142569	142961	-	1	cytochrome o ubiquinol oxidase subunit IV
Atu0140	Atu0140	NC_003062	142961	143587	-	1	cytochrome o ubiquinol oxidase subunit III
Atu0141	Atu0141	NC_003062	143594	145597	-	1	cytochrome O ubiquinol oxidase subunit I
Atu0142	Atu0142	NC_003062	145674	146672	-	1	cytochrome o ubiquinol oxidase subunit II
Atu0143	Atu0143	NC_003062	147053	148375	+	1	MFS permease
Atu0144	Atu0144	NC_003062	148441	148662	+	1	hypothetical protein
Atu0145	Atu0145	NC_003062	148937	154285	+	1	glutamate synthase large subunit
Atu0146	Atu0146	NC_003062	154282	156051	+	1	sulfite reductase (NADPH) flavoprotein alpha-component
Atu0147	Atu0147	NC_003062	156090	156596	-	1	hypothetical protein
Atu0148	Atu0148	NC_003062	156680	157276	-	1	Atu0148-1 mutant of a conserved hypothetical protein
Atu0149	Atu0149	NC_003062	157461	158267	-	1	enoyl-(acyl-carrier-protein) reductase
Atu0150	Atu0150	NC_003062	158274	159497	-	1	3-oxoacyl-(acyl-carrier-protein) synthase
