Identified Proteins (1678),Accession Number,Alternate ID,Molecular Weight,Protein Grouping Ambiguity,Taxonomy,Acetate-R1,Acetate-R2,Acetate-R3,Arabinose-R1,Arabinose-R2,Arabinose-R3,Fumarate-R1,Fumarate-R2,Fumarate-R3,Glucose-R1,Glucose-R2,Glucose-R3,LB-R1,LB-R2,LB-R3,Mannitol-R1,Mannitol-R2,Mannitol-R3,Mannose-R1,Mannose-R2,Mannose-R3,Protocatechuate-R1,Protocatechuate-R2,Protocatechuate-R3,Ribose-R1,Ribose-R2,Ribose-R3,Succinate-R1,Succinate-R2,Succinate-R3,Xylose-R1,Xylose-R2,Xylose-R3
"ABC transporter, substrate binding protein (Amino acid) OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu1577 PE=4 SV=1",A9CIW8,Atu1577,34 kDa,,unknown,65.253,74.238,84.266,57.857,76.098,60.084,35.399,43.448,38.196,90.168,76.495,70.811,41.94,47.336,52.058,53.671,64.086,59.637,63.524,51.343,69.487,62.669,59.705,72.647,63.528,79.335,68.325,52.003,39.962,38.959,59.246,63.111,72.778
Oxoglutarate dehydrogenase E1 component OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=sucA PE=4 SV=1,A9CHK1,sucA,112 kDa,,unknown,79.647,79.541,85.453,72.566,77.287,73.103,71.705,75.31,77.348,45.738,41.019,38.441,63.821,62.748,55.061,42.738,41.41,43.464,44.666,37.52,41.29,58.491,57.747,61.392,32.647,32.895,35.111,80.004,74.348,73.28,38.557,38.62,35.378
Chaperone protein DnaK OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=dnaK PE=2 SV=2,P50019,dnaK,68 kDa,,unknown,59.496,62.572,59.342,56.876,63.019,62.087,59.905,57.931,59.204,64.033,60.974,57.661,53.792,66.05,60.067,60.628,61.129,59.637,53.599,56.279,57.403,55.358,56.768,57.299,46.764,44.505,44.601,63.003,65.054,63.076,50.782,46.156,43.464
"ABC transporter, substrate binding protein (Branched chain amino acid) OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=braC PE=4 SV=1",A9CI34,braC,38 kDa,TRUE,unknown,49.899,51.967,56.969,46.089,53.506,49.069,44.475,38.621,43.926,54.885,53.214,47.545,46.498,45.134,43.048,47.707,49.297,44.475,58.562,58.254,58.41,57.446,55.789,47.067,58.234,58.05,59.784,44.002,46.467,46.38,53.604,56.517,54.583
Glutamine synthetase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=glnA PE=3 SV=1,A9CIN7,glnA,52 kDa,,unknown,44.142,39.24,39.166,59.818,68.964,59.083,48.106,49.241,50.61,65.339,65.409,59.684,42.852,39.63,44.049,59.634,57.185,52.562,61.539,57.267,57.403,55.358,51.874,57.299,44.117,42.57,48.397,52.003,52.973,57.511,51.723,50.866,48.518
Polyribonucleotide nucleotidyltransferase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=pnp PE=3 SV=1,A9CKQ7,pnp,77 kDa,TRUE,unknown,46.061,45.603,32.045,48.05,53.506,48.068,54.459,53.103,54.43,60.112,50.997,48.556,47.41,42.933,46.051,52.677,50.283,47.508,52.606,53.317,47.332,49.091,51.874,40.928,44.999,34.83,47.448,58.003,57.619,57.511,52.663,47.098,50.54
Superoxide dismutase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=sodBI PE=3 SV=1,A9CJS9,sodBI,23 kDa,,unknown,55.657,57.269,59.342,44.128,42.805,48.068,57.182,56.965,58.25,45.738,49.888,50.58,37.381,38.529,41.046,54.665,53.241,53.572,50.621,52.33,50.353,54.313,52.853,53.206,46.764,54.18,50.295,57.003,62.266,61.221,50.782,50.866,50.54
"ABC transporter, substrate binding protein (Sugar) OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=frcB PE=4 SV=1",A9CKR7,frcB,35 kDa,TRUE,unknown,45.101,46.664,55.782,42.167,42.805,46.065,29.953,32.828,28.647,65.339,59.866,57.661,34.646,25.319,27.03,75.537,72.96,75.81,83.376,81.951,87.614,52.224,44.044,48.09,45.882,42.57,52.192,37.002,34.386,36.176,40.438,46.156,46.497
"ABC transporter, substrate binding protein (Oligopeptide) OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu4431 PE=4 SV=1",A9CGM8,Atu4431,59 kDa,,unknown,53.738,50.906,58.155,51.973,54.695,53.075,33.583,27.034,29.602,58.806,54.322,55.638,43.763,48.437,51.057,54.665,53.241,52.562,60.547,61.216,61.431,62.669,58.726,59.346,59.999,59.985,63.58,37.002,37.174,38.031,57.365,57.459,63.681
NAD-glutamate dehydrogenase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=gdh PE=4 SV=1,A9CHD5,gdh,175 kDa,,unknown,50.859,48.785,46.287,25.496,17.835,27.038,33.583,37.655,34.377,49.658,39.91,47.545,72.027,82.563,78.087,51.683,52.255,54.583,56.576,53.317,55.388,59.535,61.662,62.415,53.823,53.213,49.346,38.002,36.244,37.104,47.961,40.504,50.54
"ABC transporter, substrate binding protein (Dipeptide) OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=dppA PE=4 SV=1",A9CG31,dppA,59 kDa,,unknown,41.263,39.24,36.792,34.322,34.482,35.049,34.491,34.759,36.287,57.499,49.888,50.58,72.027,59.445,75.084,39.756,37.466,40.432,53.599,51.343,57.403,57.446,53.832,53.206,59.117,56.115,64.529,29.002,38.103,35.249,56.425,48.982,58.627
Uncharacterized protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu3891 PE=4 SV=1,A9CFT2,Atu3891,64 kDa,,unknown,54.698,56.209,55.782,31.38,14.268,53.075,48.106,43.448,48.7,54.885,67.626,72.835,9.1174,6.605,5.0056,67.585,67.044,69.745,63.524,66.153,65.459,49.091,53.832,48.09,50.293,51.278,49.346,34.002,32.527,33.393,55.484,48.982,57.616
Multiple sugar-binding periplasmic receptor ChvE OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=chvE PE=1 SV=2,P25548,chvE,38 kDa,,unknown,34.546,33.937,40.353,75.508,83.232,78.11,22.691,27.034,21.963,57.499,63.191,57.661,19.146,19.815,22.025,47.707,47.325,49.529,60.547,61.216,60.424,42.824,40.129,36.835,67.94,65.79,67.376,30.002,26.951,32.466,56.425,59.343,58.627
5'-nucleotidase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu3770 PE=3 SV=2,Q7CT96,Atu3770,67 kDa,,unknown,47.021,39.24,46.287,39.225,47.561,39.055,29.953,30.897,28.647,40.51,45.453,44.51,34.646,37.428,34.038,43.732,39.438,40.432,46.651,52.33,47.332,55.358,51.874,50.137,52.94,57.083,59.784,35.002,32.527,31.538,49.842,46.156,49.529
Citrate synthase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=cisY PE=3 SV=1,A9CJ53,cisY,48 kDa,,unknown,54.698,63.633,67.65,39.225,46.372,37.052,55.367,53.103,55.385,43.124,41.019,42.487,43.763,41.832,40.045,47.707,47.325,45.486,45.658,48.381,47.332,45.957,46.981,45.021,37.058,39.668,36.06,52.003,51.114,54.728,43.259,42.388,45.486
Adenosylhomocysteinase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=ahcY PE=3 SV=1,Q8UJ99,ahcY,51 kDa,,unknown,45.101,42.422,41.54,43.147,46.372,48.068,52.644,51.172,52.52,53.578,48.779,49.568,40.116,40.731,37.041,53.671,46.339,45.486,50.621,48.381,49.346,52.224,48.938,45.021,40.588,40.635,40.805,46.002,51.114,52.873,51.723,44.272,48.518
Outer membrane protein assembly factor BamA OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=omp1 PE=3 SV=1,A9CJ61,omp1,85 kDa,,unknown,38.384,41.361,43.913,39.225,42.805,42.059,37.214,39.586,43.926,45.738,43.236,42.487,33.734,37.428,39.044,47.707,40.424,39.421,44.666,42.456,42.297,41.779,38.172,41.951,48.529,47.408,54.09,41.002,41.821,39.887,46.08,47.098,50.54
Aldehyde dehydrogenase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=aldA PE=3 SV=2,Q7CXK8,aldA,56 kDa,,unknown,31.667,34.998,36.792,54.915,58.262,54.076,45.383,51.172,49.655,44.431,33.259,33.383,72.939,75.958,75.084,35.781,33.522,33.356,31.762,33.57,35.247,37.601,39.151,35.812,37.058,40.635,42.703,45.002,47.397,48.235,34.795,32.026,31.335
30S ribosomal protein S2 OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=rpsB PE=3 SV=1,Q8UFM3,rpsB,28 kDa,,unknown,43.182,45.603,42.726,33.341,41.616,37.052,52.644,50.207,50.61,49.658,44.345,45.522,35.558,39.63,34.038,43.732,43.382,43.464,43.673,43.444,41.29,39.69,41.108,42.974,42.352,36.765,41.754,50.003,45.538,48.235,41.378,43.33,47.508
S-adenosylmethionine synthetase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=metK PE=3 SV=1,A9CKC8,metK,45 kDa,TRUE,unknown,39.344,40.301,42.726,42.167,41.616,41.058,51.736,55.034,53.475,48.351,53.214,50.58,20.058,22.017,20.022,40.75,46.339,48.518,42.68,49.368,49.346,44.913,35.235,39.905,33.529,33.863,34.162,45.002,47.397,46.38,46.08,41.446,41.443
Glutamate synthase large subunit OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=gltB PE=4 SV=2,Q7CTA8,gltB,173 kDa,,unknown,45.101,38.18,43.913,35.302,32.104,40.056,64.444,58.897,65.889,43.124,52.105,58.672,4.5587,5.5042,5.0056,47.707,44.368,46.497,42.68,42.456,47.332,27.157,26.427,30.696,27.353,29.993,29.418,57.003,63.196,64.004,50.782,58.401,53.572
Enolase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=eno PE=3 SV=1,Q8UFH1,eno,45 kDa,,unknown,39.344,41.361,41.54,40.205,42.805,40.056,49.921,50.207,48.7,37.897,41.019,42.487,43.763,42.933,39.044,46.713,43.382,43.464,41.688,43.444,41.29,41.779,46.981,39.905,36.176,29.993,35.111,49.003,53.902,51.018,32.914,36.736,32.346
Membrane lipoprotein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu0126 PE=4 SV=1,A9CKN9,Atu0126,35 kDa,,unknown,48.94,50.906,49.848,43.147,46.372,41.058,24.507,28,28.647,54.885,52.105,46.533,45.587,46.235,50.056,42.738,45.354,46.497,49.628,53.317,51.36,49.091,51.874,53.206,49.411,50.31,52.192,32.002,29.739,31.538,46.08,45.214,45.486
Ketol-acid reductoisomerase (NADP(+)) OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=ilvC PE=3 SV=1,Q8UDV0,ilvC,37 kDa,,unknown,42.223,45.603,48.661,40.205,43.994,40.056,56.275,55.034,60.159,44.431,39.91,40.464,10.941,7.7058,10.011,40.75,39.438,44.475,42.68,40.482,43.304,44.913,41.108,35.812,22.058,26.123,25.622,54.003,54.831,56.583,35.736,32.968,36.389
Protein translocase subunit SecA OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=secA PE=3 SV=2,Q7CSN9,secA,101 kDa,TRUE,unknown,48.94,46.664,39.166,39.225,43.994,44.062,52.644,52.138,46.791,41.817,42.128,43.498,41.028,44.033,43.048,39.756,42.396,46.497,43.673,41.469,42.297,48.046,45.023,43.998,37.941,35.798,37.958,50.003,50.185,50.09,43.259,37.678,39.421
Malate dehydrogenase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=mdh PE=3 SV=2,Q7CWK7,mdh,34 kDa,TRUE,unknown,45.101,48.785,45.1,39.225,51.128,45.063,39.937,45.379,42.971,40.51,35.476,38.441,31.911,34.126,43.048,33.793,35.494,35.378,36.725,40.482,37.261,47.002,43.066,49.114,28.235,32.895,28.469,46.002,44.609,42.669,32.914,34.852,33.356
"ABC transporter, substrate binding protein (Xylose) OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=xylF PE=4 SV=1",A9CFE7,xylF,36 kDa,,unknown,26.869,23.332,26.111,36.283,41.616,37.052,25.414,22.207,23.873,95.396,93.124,92.055,5.4704,3.3025,5.0056,25.841,26.621,27.292,64.517,61.216,63.445,28.201,26.427,26.603,50.293,48.375,54.09,15.001,14.87,12.059,97.803,104.56,95.015
"ABC transporter, substrate binding protein (Amino acid) OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu2422 PE=1 SV=2",Q7CX36,Atu2422,39 kDa,TRUE,unknown,39.344,40.301,42.726,26.477,30.915,27.038,21.784,24.138,24.828,45.738,43.236,38.441,31.911,27.521,31.035,30.811,28.592,28.302,34.74,34.558,40.283,45.957,44.044,48.09,59.999,54.18,53.141,25.001,23.234,21.335,41.378,47.098,44.475
DNA-directed RNA polymerase subunit alpha OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=rpoA PE=3 SV=1,P0A4E3,rpoA,37 kDa,,unknown,31.667,38.18,33.232,35.302,41.616,34.048,37.214,42.483,42.016,44.431,33.259,39.452,28.264,28.622,23.026,39.756,32.536,33.356,34.74,38.507,32.226,35.512,32.299,35.812,30,35.798,39.856,40.002,38.103,38.031,42.319,35.794,39.421
Translation initiation factor IF-2 OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=infB PE=3 SV=1,Q8UJ51,infB,99 kDa,TRUE,unknown,35.505,39.24,40.353,40.205,35.671,39.055,52.644,48.276,52.52,41.817,42.128,43.498,24.617,30.823,35.039,43.732,40.424,40.432,41.688,43.444,42.297,36.557,39.151,38.882,34.411,32.895,34.162,49.003,47.397,50.09,37.617,34.852,34.367
Serine hydroxymethyltransferase 1 OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=glyA1 PE=3 SV=2,Q8UG75,glyA1,47 kDa,TRUE,unknown,38.384,36.058,36.792,35.302,39.238,44.062,40.844,37.655,37.242,32.67,35.476,38.441,39.205,40.731,40.045,41.744,40.424,43.464,36.725,38.507,42.297,43.868,38.172,34.789,33.529,31.928,38.907,43.002,43.679,45.452,40.438,39.562,41.443
Glucose-6-phosphate isomerase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=pgi PE=3 SV=1,Q8UI94,pgi,59 kDa,,unknown,37.425,29.695,30.858,36.283,35.671,36.051,38.122,34.759,39.151,28.749,32.15,33.383,45.587,45.134,51.057,40.75,40.424,35.378,41.688,40.482,36.254,35.512,42.087,33.766,30.882,32.895,37.958,36.002,38.103,38.959,34.795,34.852,38.41
"ABC transporter, substrate binding protein (Sulfate) OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu3504 PE=4 SV=2",Q7CSM6,Atu3504,36 kDa,,unknown,38.384,43.482,42.726,37.264,43.994,37.052,43.567,47.31,48.7,50.965,38.802,38.441,0,0,0,40.75,40.424,39.421,40.695,46.406,39.275,43.868,43.066,40.928,38.823,39.668,40.805,47.002,43.679,42.669,39.497,42.388,35.378
D-3-phosphoglycerate dehydrogenase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=serA PE=3 SV=1,A9CFK0,serA,57 kDa,,unknown,36.465,42.422,39.166,69.624,73.72,69.097,44.475,45.379,39.151,33.977,29.933,25.29,25.529,27.521,27.03,35.781,35.494,33.356,25.807,23.697,25.177,37.601,34.257,33.766,20.294,22.253,21.826,57.003,55.761,57.511,21.63,21.665,19.205
Phosphoenolpyruvate carboxykinase (ATP) OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=pckA PE=3 SV=2,Q8UJ94,pckA,58 kDa,,unknown,77.728,77.42,71.211,92.178,108.2,93.131,58.998,60.828,62.069,2.6136,0,0,54.704,55.042,61.068,0,0,0,0,0,0,69.98,76.344,73.67,0,0,0,60.003,59.478,55.656,4.7021,2.8259,3.0324
Uncharacterized protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu2672 PE=4 SV=2,Q7CWI2,Atu2672,32 kDa,,unknown,43.182,44.543,40.353,34.322,36.86,36.051,28.137,26.069,29.602,47.044,44.345,46.533,32.822,27.521,34.038,36.774,35.494,37.4,42.68,40.482,41.29,47.002,40.129,42.974,41.47,41.603,46.499,29.002,27.88,31.538,41.378,43.33,45.486
"ABC transporter, substrate binding protein (Oligopeptide) OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu4259 PE=4 SV=1",A9CGB6,Atu4259,59 kDa,,unknown,40.303,37.119,34.419,25.496,24.97,25.035,19.968,26.069,21.963,43.124,45.453,44.51,45.587,45.134,47.053,32.799,29.578,27.292,40.695,43.444,37.261,49.091,46.002,46.044,55.587,57.083,54.09,26.001,23.234,20.407,41.378,43.33,45.486
Dihydrolipoyl dehydrogenase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=lpdA PE=3 SV=1,A9CHK4,lpdA,49 kDa,,unknown,50.859,49.846,51.034,45.108,43.994,47.066,48.106,51.172,49.655,24.829,27.716,24.278,28.264,35.227,34.038,26.835,28.592,26.281,28.784,24.684,25.177,39.69,41.108,41.951,17.647,23.22,22.775,49.003,48.326,50.09,24.451,23.549,26.281
50S ribosomal protein L25 OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=rplY PE=3 SV=1,Q8UDA0,rplY,22 kDa,,unknown,34.546,38.18,40.353,31.38,33.293,35.049,40.844,42.483,42.016,41.817,39.91,35.406,31.911,36.328,34.038,32.799,33.522,34.367,33.747,34.558,31.219,34.468,35.235,31.719,32.647,36.765,30.367,41.002,39.033,38.031,34.795,36.736,37.4
Lipoprotein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu1789 PE=4 SV=2,Q7CYI8,Atu1789,39 kDa,,unknown,39.344,38.18,40.353,38.244,32.104,35.049,26.322,24.138,26.737,39.204,44.345,42.487,25.529,22.017,24.027,37.768,34.508,37.4,41.688,39.494,42.297,45.957,41.108,37.858,44.999,37.733,43.652,26.001,26.951,24.117,37.617,40.504,42.454
Cysteine synthase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=cysK PE=4 SV=1,A9CKE4,cysK,34 kDa,TRUE,unknown,40.303,38.18,32.045,37.264,41.616,34.048,41.752,44.414,48.7,35.283,39.91,35.406,21.882,25.319,22.025,34.787,40.424,40.432,39.703,38.507,42.297,37.601,36.214,34.789,34.411,30.96,36.06,44.002,41.821,38.031,33.855,35.794,35.378
Pyruvate carboxylase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=pycA PE=4 SV=1,A9CHG1,pycA,127 kDa,,unknown,33.586,36.058,30.858,32.36,27.348,26.037,44.475,48.276,48.7,30.056,36.585,36.417,7.2939,8.8067,9.0101,44.726,49.297,46.497,40.695,41.469,36.254,33.423,32.299,38.882,18.529,16.448,19.928,55.003,46.467,46.38,26.332,29.201,26.281
"6-phosphogluconate dehydrogenase, decarboxylating OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=gntZ PE=3 SV=1",A9CIZ2,gntZ,51 kDa,,unknown,28.788,26.514,23.737,19.612,17.835,17.024,31.768,29.931,34.377,41.817,45.453,44.51,34.646,28.622,28.031,34.787,34.508,35.378,36.725,33.57,35.247,21.934,23.49,22.51,49.411,43.538,43.652,30.002,26.951,30.611,47.021,48.04,45.486
30S ribosomal protein S4 OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=rpsD PE=3 SV=1,Q8UEA0,rpsD,24 kDa,,unknown,29.748,28.635,33.232,32.36,27.348,27.038,44.475,39.586,51.565,32.67,34.367,31.359,30.999,28.622,28.031,31.805,28.592,32.346,35.732,36.532,35.247,30.29,32.299,29.673,32.647,31.928,32.264,39.002,36.244,38.959,34.795,36.736,34.367
